Ref_No	Local_Accession_No	Map_Reference	MapArea	MapLong	MapLat	Town_Village	Location	Title	Further_Information	Date_of_Image	Date_Period	Photographer	Artist	Engraver	Publisher	Acknowledged	Form_of_Acknowledgment	Language_single	Format_single	Publishers_single	License_single	Audience_single	Key_Terms	Keywords
NTGM000145	19192	SK5740		52.95435674	-1.153011124	Nottingham	Colwick Street	Colwick Street from Gedling Street	 	February 1934	13_The_1930s	not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	cobbled streets urban shop signs local people run-down area red brick terraced houses	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000148	32607	SK5740		52.95435674	-1.153011124	Nottingham,_St_Anns	Alfred Street North	Alfred Street North, St Ann's	Bangor Street and St Andrew's Church School.	1972	17_The_1970s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	school education Gothic-style tower arched windows red brick wall shop street urban	Buildings_and_Structures Schools_Colleges_and_Universities
NTGM000149	70023	SK5740		52.95435674	-1.153011124	Nottingham	Alfred Street North	Alfred Street North, St Ann's	St Ann&amp;amp;#39;s Factories, Alfred Street North (front) St Ann&amp;amp;#39;s Hill Road (rear). The smaller factory centre front was a mens clothing manufacturer, Wright and Co. In the 1960&amp;amp;#39;s the boss was a Mr Beverely Wright who also used to have a small shop at Bulwell market place, called Beverelys.	February-March 1972	17_The_1970s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	factories red brick industrial cars dreary	Buildings_and_Structures Factories_and_Industrial
NTGM000150	25168	SK5740		52.95435674	-1.153011124	Nottingham,_St_Anns	Alfred Street Central, St Ann's	Alfred Street looking towards Woodborough Crossing	 	1970	17_The_1970s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	street shops commercial houses sings urban Gothic-style tower	Buildings_and_Structures Shops_Banks_and_Commercial Natural_World_Landscape_and_Views Streetscene
NTGM000151	25165	SK5740		52.95435674	-1.153011124	Nottingham,_St_Anns	Alfred Street Central, St Ann's	Alfred Street Central from Commercial Square, St Ann's Well Road	Going up Alfred Street Central first on the right was Cromwell Terrace then it would be Cooper Street next on the left at the Bay Horse was Hutchinson Street next on the right was Dane Street then Great Freeman Street opposite Lewis Street.	1970	17_The_1970s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	street shops commercial bank Gothic-style windows public house clock pelican crossing	Buildings_and_Structures Shops_Banks_and_Commercial Natural_World_Landscape_and_Views Streetscene
NTGM000202	90654	SK5740		52.95435674	-1.153011124	Nottingham,_Sneinton	Bath Street, Sneinton Market	Bath Street, Sneinton Market	The Junction with Handel Street looking towards Victoria Buildings, a tenement block (an unusual type of housing for Nottingham). The roof of Victoria Baths (opened 1876) is on far left	c 1920's	12_The_1920s	not known				Yes	Nottingham Historical film unit	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	market advertisements shoppers baths flats tram lines rails men women gothic brick windows	Work_and_Industry Markets_and_Fairs Buildings_and_Structures Housing
NTGM000206	31045	SK5740		52.95435674	-1.153011124	Nottingham	White Cow yard, Carter gate , Barker gate area	White Cow yard, Carter gate	Health Department. Out of Copyright	1919	11_The_1910s	not known				Yes	Nottingham City Council Health Department	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	slums streets yard houses children lamppost brick shops clothes	People_and_Society Welfare_and_Poverty Families_and_Children Natural_World_Landscape_and_Views Streetscene
NTGM000224	65106	SK5740		52.95435674	-1.153011124	Nottingham	Bluecoat Street	Bluecoat Street	View from North Sherwood Street (south-east) towards Mansfield Road	1983	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	houses terrace porch brick street lamppost	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000240	36195	SK5740	campbell street nottingham	52.95767425	-1.137943268	Nottingham,_St_Anns	Campbell Grove, Campbell Street	Campbell Grove, Campbell Street, St Ann's, Nottingham, 1974	View from junction of Hawkridge Street . Left: Nottingham Mosque	1974	17_The_1970s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	shops houses terrace brick gardens mosque cobbles advertisements cars	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000245	24196	SK5740		52.95435674	-1.153011124	Nottingham,_St_Anns	Berkeley Street	Berkeley Street, Lamartine Street	Workmen's dwellings, built as model dwellings by a group headed by William Felkin in 1852-4.	1967	16_The_1960s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	red brick terraced Victorian houses uniform protruding porches arch cobbled street	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000246	32632	SK5740		52.95435674	-1.153011124	Nottingham,_St_Anns	Berkeley Street	Berkeley Street, St Ann's	Looking south to Lamartine Street from Ferrars Street. The houses on the left were built for workers by a group headed by William Felkin in 1852-4.	1972	17_The_1970s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	terraced Victorian houses uniform protruding porches cobbles street urban	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000247	33020	SK5740		52.95435674	-1.153011124	Nottingham,_St_Anns	Berkeley Street	Berkeley Street, St Ann's	Rear view of the houses which shows the passageway separating Mowbray Street from Berkeley Square.	1972	17_The_1970s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	terraced red brick Victorian houses rear view wall alleyway	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000260	72646	SK5740		52.95435674	-1.153011124	Nottingham,_Sneinton	Brook Street	Brook Street, Sneinton	 	1986	18_The_1980s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	flats block estate houses urban modern front garden	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000271	35427	SK5740		52.95435674	-1.153011124	Nottingham,_Sneinton	Brook Street, Denmark Street	Brook Street, Denmark Street, Sneinton	Photographed when renovations were planned by the Health Department.	1914	11_The_1910s	Roberts, George L				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	red brick houses window shutters cobbled street corner people women	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000276	35430	SK5740		52.95435674	-1.153011124	Nottingham	Chapel Yard	Frame-knitters houses, Chapel Yard, Cross Street	Numbers 11-15. Out of Copyright.	26 July 1915	11_The_1910s	not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	tenements frame knitters windows weavers people poverty pump dilapidated	Buildings_and_Structures Factories_and_Industrial Housing People_and_Society Welfare_and_Poverty
NTGM000294	18194	SK5740		52.95435674	-1.153011124	Nottingham,_Sneinton	Finch Street	Finch Street, Sneinton Market	Showing closets under the living room. Health Department.	1919	11_The_1910s	not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	run-down red brick houses broken windows lamp wooden shutters closets	Buildings_and_Structures Housing People_and_Society Welfare_and_Poverty
NTGM000299	76630	SK5740		52.95435674	-1.153011124	Nottingham	Forest Road	Forest Road looking east from Addison Street	 	June 1985	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	terraced houses bay windows three storey new flats cars road junction	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000309	52495	SK5740		52.95435674	-1.153011124	Nottingham	Howard Street	Howards Street off Glasshouse Street	Numbers 16-4.	05 October 1978	17_The_1970s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	three-storey red brick terraced houses dentists bicycle street wooden shutters	Buildings_and_Structures Housing Buildings_and_Structures Shops_Banks_and_Commercial
NTGM000310	40500	SK5740		52.95435674	-1.153011124	Nottingham	Howard Street	Howard Street taken from Huntingdon Street.	 	1974	17_The_1970s	Roberts, George L				Yes	George L Roberts	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	street red brick buildings bingo hall high rise flats urban	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000338	93467	SK5740		52.95435674	-1.153011124	Nottingham	Kent Street	Kent Street junction with Glasshouse Street	 	1995	19_The_1990s	Brown, Ian LRPS				Yes	Ian Brown LRPS	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	street block of flats car urban junction housing modern	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000339	93471	SK5740		52.95435674	-1.153011124	Nottingham	Kent Street	Buildings on the south side of Kent Street	 	1995	19_The_1990s	Brown, Ian LRPS				Yes	Ian Brown LRPS	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	street cars block of flats urban modern	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000340	93475	SK5740		52.95435674	-1.153011124	Nottingham	Kent Street	Hein Gericke premises (motor cycle and accessories) on the corner of Kent and Huntingdon Street	 	1995	19_The_1990s	Brown, Ian LRPS				Yes	Ian Brown LRPS	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	commercial premises car flats no entry sign road urban	Buildings_and_Structures Shops_Banks_and_Commercial
NTGM000346	43510	SK5740		52.95435674	-1.153011124	Nottingham	Huntingdon Street	Huntingdon Street	East side , junction with Mansfield Road Back-to-back houses on main thoroughfare, showing dustbins on street. Boundary extension evidence.	1931-2	13_The_1930s	not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	street road urban houses terrace grass brick Windows shutters dustbins poverty back-to-back	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000364	37686	SK5740		52.95435674	-1.153011124	Nottingham	King's Walk	King's Walk	From Junction with Trinity Sq.	December 1973	17_The_1970s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	shops walkway clothes men shirts ties brick windows	Buildings_and_Structures Shops_Banks_and_Commercial
NTGM000371	41695	SK5740		52.95435674	-1.153011124	Nottingham	Huntingdon Street	Huntingdon Street at the junction with Mansfield Road	Taken from Elm Ave. No's. 2-14 Huntingdon Street rear view	23 November 1975	17_The_1970s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	rear shops buildings junction drainpipes brick road	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000372	74719	SK5740		52.95435674	-1.153011124	Nottingham	Huntingdon Street	Huntingdon Street no's. 117-119	Left, Watkin Street	August 1985	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	Houses brick slate fence hedge cars women doors windows	Buildings_and_Structures Housing Natural_World_Landscape_and_Views Streetscene
NTGM000373	74723	SK5740		52.95435674	-1.153011124	Nottingham	Huntingdon Street	Huntingdon Street	Looking S. E. from Mansfield Road, left: Alfred Street North. Showing Andy Bone's Motorcycle shop	August 1985	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	motorcycle shop street road junction advertisements buildings cars brick	Buildings_and_Structures Transport Natural_World_Landscape_and_Views Streetscene
NTGM000374	74720	SK5740		52.95435674	-1.153011124	Nottingham	Huntingdon Street	Huntingdon Street	Left: Beck Street Shop on corner is ex-Brown Bros., Cycle and motor accessories	August 1985	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	warehouse shop motor transport brick windows cars pedestrians	Buildings_and_Structures Transport Buildings_and_Structures Factories_and_Industrial
NTGM000375	81993	SK5740		52.95435674	-1.153011124	Nottingham	Huntingdon Street	Huntingdon Street	 	1987	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	shops business inn pub buildings roofs metal road office commercial modern	Buildings_and_Structures Offices Hotels_Inns_and_Public_Houses
NTGM000390	18188	SK5740		52.95435674	-1.153011124	Nottingham	Crank Court, Milk Street	Crank Court, Milk Street	Glasshouse Street Area.	1919	11_The_1910s	not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	tenement slum lamp bicycles court people entrance arch poverty	Buildings_and_Structures Housing People_and_Society Welfare_and_Poverty
NTGM000398	Misc. 49	SK5740		52.95435674	-1.153011124	Nottingham	Cur Lane	Cur Lane taken from Beck Street	Photograph taken by the City Engineer's Office before demolition. Out of copyright.	25 May 1927	12_The_1920s	not known				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	narrow road cobbled shops advertisement signs people children lamp urban	Buildings_and_Structures Shops_Banks_and_Commercial Natural_World_Landscape_and_Views Streetscene
NTGM000436	63245	SK5740		52.95435674	-1.153011124	Nottingham	East Street	East Street, Nottingham	Taken from lower Parliament Street. Rear: High Cross Street.	July 1982	18_The_1980s	Baker, Reg				Yes	Reg Baker	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	street newsagents shop woman factory lamp sign urban	Buildings_and_Structures Shops_Banks_and_Commercial Natural_World_Landscape_and_Views Streetscene
NTGM000438	Misc. 51	SK5740		52.95435674	-1.153011124	Nottingham	Cross Street	Cross Street looking towards Platt Street.	Taken from the junction with Nile Row and Cherry Street on the right (the wall on the right belongs to Pownall's scap yard, see NTGM005466). The Grapes Beer House stands at the junction of Meynal Road and Platt Street. Also known as Meadow Platts.	25 May 1927	12_The_1920s	Nottingham City Council				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	cobbled street red brick buildings shop public house men lamps factory chimney boys uniform	Buildings_and_Structures Hotels_Inns_and_Public_Houses Housing Natural_World_Landscape_and_Views Streetscene
NTGM000439	Misc. 108	SK5740		52.95435674	-1.153011124	Nottingham	Cross Street	Cross Street looking towards Platt Street	Taken during road widening work. Also known as Meadow Platts Area.	15 April 1929	12_The_1920s	Nottingham City Council				Yes	Nottingham City Council	EN-GB	JPEG/IMAGE	North East Midland Photographic Record	http://creativecommons.org/licenses/by-nc-nd/2.0/uk/	General_Educational	cobbled road construction work road widening workmen tar rubble steam engine urban buildings	Transport_and_Communication Roads Work_and_Industry Workers
